Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
ALW48,-87.017063,34.6837,586.3415804179732,647.6911813647539,0.6321330160654652,0.6535967680744441
ALW49,-86.182793,34.803785,612.2397029474885,670.343795481064,0.17742304208435739,0.19304700717564593
ALX50,-85.49788,33.97854,624.2236660979145,663.3954792061086,1.053473785935721,1.1852569712159742
ALY50,-85.88498,33.397383,618.8952929215335,665.5085238825747,4.0020334759492835,4.764057800643059
ALZ51,-85.356061,32.801121,633.9264211023908,673.0931457656537,0.244622654599971,0.28084053264698944
ARU43,-90.330834,36.341423,748.9676311635764,721.548359767503,0.5557229176535561,0.5498941162709001
CAM01,-124.190008,41.87624,699.2725311087208,846.2157901863359,0.5931739089662709,0.6405670098955039
CAM02,-123.403,41.6077,687.8573986531991,815.9018159748382,0.1605243567221279,0.18051478269213223
CAM03,-122.628028,41.491175,679.5914963805815,802.1997398837019,0.205122832422772,0.2347107839805146
CAM04,-121.833,41.4153,671.8393809856334,778.7238560706202,0.12373208860995188,0.1639267616657843
CAM05,-120.868,41.411506,664.4312383661405,769.2031381087788,0.13884264215278022,0.1686687494007476
CAM06,-120.021,41.5313,681.0394146001154,771.2372958357112,0.1163904687520387,0.13510505042177662
CAM94,-121.692,41.461287,671.9389377490132,780.975404511246,0.16850685106779373,0.21848032418696742
CAN01,-124.091,41.1683,680.5130123939043,768.2013276486767,0.7774731188473771,0.8241095110382327
CAN02,-123.449,40.8663,668.3926293723051,741.5428350925829,0.0972890902503612,0.11983664003629954
CAN03,-121.971,41.0269,662.9758441941908,742.7870016956334,0.1436163631069128,0.19057948846668987
CAN03,-122.506168,40.899573,663.1973553643196,750.2699036278775,0.1801385109527938,0.21215978940987928
CAN04,-121.572,40.8194,655.0182879563582,724.9186879510903,0.10035323687198419,0.12655341558105107
CAN05,-120.794,40.762137,647.7505279842425,743.0326543484941,0.17991879012821932,0.2105422333818271
CAN06,-120.109,40.7856,642.9431166327726,740.1216565205493,0.10553083263551685,0.12917575733897135
CAO01,-123.935,40.6278,664.8071117203102,725.05781313296,0.34028846230653714,0.3880340605936928
CAO02,-123.18,40.4668,656.740170902016,712.8609485180926,0.11783014701800104,0.13308277071039804
CAO03,-122.515,40.293425,649.2335785370699,714.003053063461,0.08490543220969346,0.09910505005216885
CAO04,-121.523,40.217,641.5312737777449,723.8549664507811,0.4680061430658457,0.5038609036525152
CAO05,-120.704,40.247,636.0010891039087,738.1686267510938,0.3127904146117114,0.32967074018301534
CAO06,-120.015,40.1042,627.6248237420272,747.7855286459691,0.06022916219614971,0.07179874682242937
CAP01,-123.766,40.0364,650.9376310820417,698.0698239697234,0.3652641659626737,0.41998895495652194
CAP02,-123.064,39.702975,640.957766266657,695.6415838367508,0.24775706551735951,0.26585792054755286
CAP03,-122.352,39.6414,635.5727736271843,703.1957765962899,0.13998064039109492,0.16862162712848733
CAP04,-121.332,39.5914,628.2378698847783,739.8668012096202,1.186251326552347,1.297110401759566
CAP05,-120.719,39.505597,621.9306878213642,743.9528961801446,0.17758373663038962,0.17589010458149573
CAQ01,-123.719,39.35465,635.469384378538,692.4368477925864,0.4550560199811881,0.5191197197597242
CAQ02,-122.868,38.923625,619.8594727604171,713.1052674497168,0.2757219307350244,0.29126452909851924
CAQ03,-122.245,38.9778,618.7333925720982,755.1993795936935,0.06461847340771129,0.0884678893943989
CAQ04,-121.346,38.9632,614.0577858093529,778.2309820024109,0.16082184919641102,0.1726978717857522
CAQ05,-120.577,38.884797,607.3219998579785,776.8395471905749,0.11015310559572929,0.09846070120695771
CAQ06,-119.793,38.8258,600.8311062061133,772.9661317680938,0.05905930447109621,0.05754609127548915
CON20,-108.158877,40.86178,1009.0943788951233,1069.8744845591377,0.16709701525571677,0.1740807197112782
CON21,-107.387808,40.907368,1032.9313157405948,1052.9569825652027,0.161531023903146,0.14948640124905194
CON24,-105.071338,40.913587,1083.0756861073762,1051.804772988222,0.4607181404940866,0.3629225019860611
